Locality,Districtname,StateName
Sarbasirpur(36),GURGAON,HARYANA
Bindapur(93),GURGAON,HARYANA
Haiderpur(76),GURGAON,HARYANA
Shahpur(69),GURGAON,HARYANA
Nangli Umarpur(82),GURGAON,HARYANA
Adampur(90),GURGAON,HARYANA
Sikanderpur Ghosi(68),GURGAON,HARYANA
Wazirabad(75),GURGAON,HARYANA
Kanahi(73),GURGAON,HARYANA
Ghata(81),GURGAON,HARYANA
Nurpur Jharsa(165),GURGAON,HARYANA
Balola(78),GURGAON,HARYANA
Shamshpur(92),GURGAON,HARYANA
jharsa,GURGAON,HARYANA
Tigra(91),GURGAON,HARYANA
Gual Pahari(77),GURGAON,HARYANA
Khandsa(104),GURGAON,HARYANA
Lakhnola(110),GURGAON,HARYANA
Bar Gujar(156),GURGAON,HARYANA
Narsinghpur(102),GURGAON,HARYANA
Navrangpur(157),GURGAON,HARYANA
Kharki Dola(161),GURGAON,HARYANA
Mohammadpur Jharsa(103),GURGAON,HARYANA
Badha(113),GURGAON,HARYANA
Naharpur Kasan (111),GURGAON,HARYANA
Shikohpur(160),GURGAON,HARYANA
Begampur Khatola(101),GURGAON,HARYANA
Naharpur Rupa (Part)(96),GURGAON,HARYANA
Sikanderpur Badha(109),GURGAON,HARYANA
Nawada Fatehpur(112),GURGAON,HARYANA
Sihi(108),GURGAON,HARYANA
sikohpur,GURGAON,HARYANA
Allawardi(56),GURGAON,HARYANA
Basai((50),GURGAON,HARYANA
Dharampur(59),GURGAON,HARYANA
Gopalpur(47),GURGAON,HARYANA
Kadipur (Part)(105),GURGAON,HARYANA
Bajghera(61),GURGAON,HARYANA
Dhanwanpur(51),GURGAON,HARYANA
Garoli Kalan(48),GURGAON,HARYANA
gurgan village,GURGAON,HARYANA
Daultabad(53),GURGAON,HARYANA
Garoli Khurd(106),GURGAON,HARYANA
Mohmadheri(58),GURGAON,HARYANA
Basai(86),GURGAON,HARYANA
Babupur(60),GURGAON,HARYANA
Bakainka(17),GURGAON,HARYANA
Molahera(65),GURGAON,HARYANA
Cartarpuri Alias Daulatpur Nasirabad (63,GURGAON,HARYANA
Choma(62),GURGAON,HARYANA
Islampur(97),GURGAON,HARYANA
Manesar(154),GURGAON,HARYANA
Sehrawan(152),GURGAON,HARYANA
Khoh(153),GURGAON,HARYANA
Khoh(153),GURGAON,HARYANA
Nainwal(155),GURGAON,HARYANA
nenwal,GURGAON,HARYANA
Kasan (129),GURGAON,HARYANA
Manesar(154),GURGAON,HARYANA
Manesar(154),GURGAON,HARYANA
Aklimpur(166),GURGAON,HARYANA
Bhrempur(80),GURGAON,HARYANA
Badshahpur(87),GURGAON,HARYANA
Sakatpur(159),GURGAON,HARYANA
Dhumaspur(86),GURGAON,HARYANA
Palra(164),GURGAON,HARYANA
Tikampur(54),GURGAON,HARYANA
Ulhawas(83),GURGAON,HARYANA
Ulhawas(83),GURGAON,HARYANA
Badshahpur Tethar(222),GURGAON,HARYANA
Fazilpur Jharsa(99),GURGAON,HARYANA
Gairatpurbas(158),GURGAON,HARYANA
Ghasula(88),GURGAON,HARYANA
Tikli(167),GURGAON,HARYANA
Kadarpur(84),GURGAON,HARYANA
Pawala Khasrupur(57),GURGAON,HARYANA
Behrampur(100),GURGAON,HARYANA
Medawas(85),GURGAON,HARYANA
Tikri(98),GURGAON,HARYANA
Bandhwari(79),GURGAON,HARYANA
Darbaripur(162),GURGAON,HARYANA
Kadarpur(84),GURGAON,HARYANA
Damdma(174),GURGAON,HARYANA
Ghamroj(179),GURGAON,HARYANA
Raisena(184),GURGAON,HARYANA
ramnagar,GURGAON,HARYANA
Rethoj(169),GURGAON,HARYANA
Alipur(180),GURGAON,HARYANA
Bhondsi(168),GURGAON,HARYANA
maruti kunj,GURGAON,HARYANA
Hariahera(183),GURGAON,HARYANA
Raisena(184),GURGAON,HARYANA
Bhogpur(208),GURGAON,HARYANA
Kherla (109),GURGAON,HARYANA
Kherla(177),GURGAON,HARYANA
Mahendwara(178),GURGAON,HARYANA
Sahjawas(170),GURGAON,HARYANA
Abhepur(173),GURGAON,HARYANA
Behlpa(171),GURGAON,HARYANA
Garhi Bazidpur(175),GURGAON,HARYANA
Chuharpur (203),GURGAON,HARYANA
Dhunela(182),GURGAON,HARYANA
Kherli Dausa(196),GURGAON,HARYANA
Khuntpuri(209),GURGAON,HARYANA
Lakhuwas(190),GURGAON,HARYANA
Mahwan(88),GURGAON,HARYANA
Maraula(172),GURGAON,HARYANA
Bai Khera (224),GURGAON,HARYANA
Bedhwaka(218),GURGAON,HARYANA
Bilaka(211),GURGAON,HARYANA
Gajarpur(166),GURGAON,HARYANA
Ghangola(212),GURGAON,HARYANA
Ghasera(161),GURGAON,HARYANA
Kharoda (198),GURGAON,HARYANA
Khatrika(213),GURGAON,HARYANA
Nunera (204),GURGAON,HARYANA
Palri (102),GURGAON,HARYANA
Qutabgarh(162),GURGAON,HARYANA
Ransika(31),GURGAON,HARYANA
Sampki Nagli (186),GURGAON,HARYANA
Zakupur (189),GURGAON,HARYANA
Daula(197),GURGAON,HARYANA
Hilalpur(183),GURGAON,HARYANA
Kuliaka(219),GURGAON,HARYANA
Mailawas(163),GURGAON,HARYANA
Manuwas(186),GURGAON,HARYANA
Rahaka(216),GURGAON,HARYANA
Ratika Noabad(210),GURGAON,HARYANA
Rethora(165),GURGAON,HARYANA
Rewasan (168),GURGAON,HARYANA
Tethar(223),GURGAON,HARYANA
Karnki (206),GURGAON,HARYANA
Raipur (188),GURGAON,HARYANA
Rampur(180),GURGAON,HARYANA
Tolni(202),GURGAON,HARYANA
Barota(178),GURGAON,HARYANA
Dhir Dhaunka(171),GURGAON,HARYANA
Hassanpur Sohna(192),GURGAON,HARYANA
Indri(197),GURGAON,HARYANA
Jakohpur (110),GURGAON,HARYANA
Jolahaka(214),GURGAON,HARYANA
Kanwarsika(175),GURGAON,HARYANA
Loh Singhani(226),GURGAON,HARYANA
Lohatki(194),GURGAON,HARYANA
Raisika(174),GURGAON,HARYANA
Udaka(181),GURGAON,HARYANA
Baluda(191),GURGAON,HARYANA
Hajipur(15),GURGAON,HARYANA
Khaika(192),GURGAON,HARYANA
Kiranj(187),GURGAON,HARYANA
Kurali Sohna(89),GURGAON,HARYANA
Nimot (200),GURGAON,HARYANA
Ranika Singhola (215),GURGAON,HARYANA
Rojka Gujar(172),GURGAON,HARYANA
Silani(207),GURGAON,HARYANA
Sohna,GURGAON,HARYANA
Sohna (Rural)(Part)(187),GURGAON,HARYANA
Badhelaki(176),GURGAON,HARYANA
Berka(181),GURGAON,HARYANA
Dhanduka (151),GURGAON,HARYANA
Dubalu(194),GURGAON,HARYANA
Jalalpur(195),GURGAON,HARYANA
Kharak Sohna(15),GURGAON,HARYANA
Kherli Kankar(169),GURGAON,HARYANA
Kherli Lala(220),GURGAON,HARYANA
Mohammadpur Gujar (185),GURGAON,HARYANA
Rahuka(182),GURGAON,HARYANA
Rojka(173),GURGAON,HARYANA
Sancholi (205),GURGAON,HARYANA
Uleta(191),GURGAON,HARYANA
Bhirawati(184),GURGAON,HARYANA
Chhapera (167),GURGAON,HARYANA
Gangauli(195),GURGAON,HARYANA
Harchandpur (199),GURGAON,HARYANA
Hiranthla(164),GURGAON,HARYANA
Isaka (201),GURGAON,HARYANA
Khanpur(34),GURGAON,HARYANA
Khobri(196),GURGAON,HARYANA
Mandawar(221),GURGAON,HARYANA
Rupaheri(170),GURGAON,HARYANA
Saramathla(225),GURGAON,HARYANA
Satlaka(217),GURGAON,HARYANA
Siraska(193),GURGAON,HARYANA
Alipur Tigra(80),GURGAON,HARYANA
Basaimeo(149),GURGAON,HARYANA
Dhadauli Khurd(86),GURGAON,HARYANA
Akhnaka(81),GURGAON,HARYANA
Ferozepur Jhirka,GURGAON,HARYANA
Ranyala Patakpur(33),GURGAON,HARYANA
Ranyali(111),GURGAON,HARYANA
Rigarh(105),GURGAON,HARYANA
Ghata Shamasabad(106),GURGAON,HARYANA
Rangala Rajpur(69),GURGAON,HARYANA
Ainchwari(163),GURGAON,HARYANA
Chakrangala(70),GURGAON,HARYANA
Dhanwala(72),GURGAON,HARYANA
Hasanpur Bilonda (89),GURGAON,HARYANA
Hirwari Bamatheri(79),GURGAON,HARYANA
Hirwari Bamatheri(79),GURGAON,HARYANA
Agon(104),GURGAON,HARYANA
Bhond(85),GURGAON,HARYANA
Bilakpur(83),GURGAON,HARYANA
Doha(94),GURGAON,HARYANA
Patakpur Ferozepur(61),GURGAON,HARYANA
Patkhori(90),GURGAON,HARYANA
Shakarpuri(93),GURGAON,HARYANA
Sidhrawat(84),GURGAON,HARYANA
Baghola(78),GURGAON,HARYANA
Beriabas(97),GURGAON,HARYANA
Biwan(148),GURGAON,HARYANA
Ferozepur Jhirka (Rural)(73),GURGAON,HARYANA
Kol Gaon (95),GURGAON,HARYANA
Badopur(103),GURGAON,HARYANA
Bhakroji(99),GURGAON,HARYANA
Ibrahimbas(98),GURGAON,HARYANA
Kameda(82),GURGAON,HARYANA
Maholi(87),GURGAON,HARYANA
Patan Udaipuri (92),GURGAON,HARYANA
Rajoli(74),GURGAON,HARYANA
Rawli(91),GURGAON,HARYANA
Shahabpur(101),GURGAON,HARYANA
Shahmirbas(96),GURGAON,HARYANA
Ahmadbas Ferozepur(71),GURGAON,HARYANA
Madapur(77),GURGAON,HARYANA
Pathrali(102),GURGAON,HARYANA
Ranyala Ferozepur(108),GURGAON,HARYANA
Sohalpur(88),GURGAON,HARYANA
Sulaila (75),GURGAON,HARYANA
Beri Nisfi Sohna (9),GURGAON,HARYANA
Bharangpur(45),GURGAON,HARYANA
Bissar Akbarpur(2),GURGAON,HARYANA
Fatehpur (30),GURGAON,HARYANA
Fatehpur (30),GURGAON,HARYANA
Hassanpur Taoru (7),GURGAON,HARYANA
Jalalpur Sohna(14),GURGAON,HARYANA
Kharkhari(72),GURGAON,HARYANA
Milakpur (48),GURGAON,HARYANA
Mohmmadpur Ahir(13),GURGAON,HARYANA
Naharpur(54),GURGAON,HARYANA
Nijampur Taoru (43),GURGAON,HARYANA
Salahka(69),GURGAON,HARYANA
dulawat,GURGAON,HARYANA
Goela (19),GURGAON,HARYANA
Jaurasi (32),GURGAON,HARYANA
Kalwari(6),GURGAON,HARYANA
Pachgaon(68),GURGAON,HARYANA
Rangala (35),GURGAON,HARYANA
Silkhoh(59),GURGAON,HARYANA
Subasheri (52),GURGAON,HARYANA
Taoru (Rural)(Part) (64),GURGAON,HARYANA
Udepuri(144),GURGAON,HARYANA
Atitka(38),GURGAON,HARYANA
Baghanki(4),GURGAON,HARYANA
Bawla(46),GURGAON,HARYANA
Buraka Taoru(66),GURGAON,HARYANA
Chehalka(17),GURGAON,HARYANA
Deengarheri (21),GURGAON,HARYANA
Didhara (44),GURGAON,HARYANA
Gawarka (65),GURGAON,HARYANA
Guddhi (29),GURGAON,HARYANA
Jafrabad(24),GURGAON,HARYANA
Jhamuwas (31),GURGAON,HARYANA
Kharak Taoru (23),GURGAON,HARYANA
Nanduki(22),GURGAON,HARYANA
Shikarpur (74),GURGAON,HARYANA
Sunari (40),GURGAON,HARYANA
Taoru,GURGAON,HARYANA
Atta(179),GURGAON,HARYANA
Bidhuwas(80),GURGAON,HARYANA
Chhajupur(79),GURGAON,HARYANA
Chharora(62),GURGAON,HARYANA
Chilla(67),GURGAON,HARYANA
Hassanpur(163),GURGAON,HARYANA
Kota Khandewla(1),GURGAON,HARYANA
Kuliaka(76),GURGAON,HARYANA
Mundarka (56),GURGAON,HARYANA
Noorpur(97),GURGAON,HARYANA
Raniaki(50),GURGAON,HARYANA
Sewka (51),GURGAON,HARYANA
Sondh(18),GURGAON,HARYANA
Bamrauli(25),GURGAON,HARYANA
Beri Nisfi Taoru(8),GURGAON,HARYANA
Bhajlaka(63),GURGAON,HARYANA
Bhogipur (53),GURGAON,HARYANA
Chilawali(61),GURGAON,HARYANA
Dalaka(71),GURGAON,HARYANA
Gangani(12),GURGAON,HARYANA
Jaurasi (32),GURGAON,HARYANA
Kalarpuri(42),GURGAON,HARYANA
Khaika Tauru (57),GURGAON,HARYANA
Khori Khurd(36),GURGAON,HARYANA
Malahka(70),GURGAON,HARYANA
Padheni (78),GURGAON,HARYANA
Uton (33),GURGAON,HARYANA
Chundhika(39),GURGAON,HARYANA
Khori Kalan(37),GURGAON,HARYANA
Rathiwas (34),GURGAON,HARYANA
Rathiwas(140),GURGAON,HARYANA
Sarai(11),GURGAON,HARYANA
Sunari (40),GURGAON,HARYANA
Sunthaka(26),GURGAON,HARYANA
Bhango(16),GURGAON,HARYANA
Dadu(10),GURGAON,HARYANA
Dalawas(77),GURGAON,HARYANA
"Dhulawat, Ghusbaithi , Kirnari, Bhootlaka, Pipaka, Patooka, Mandola",GURGAON,HARYANA
Fatehpur(89),GURGAON,HARYANA
Ghoraka(41),GURGAON,HARYANA
Gogjaka (75),GURGAON,HARYANA
Gurnawat(49),GURGAON,HARYANA
Kherki(3),GURGAON,HARYANA
Sabras(27),GURGAON,HARYANA
Saidpur (55),GURGAON,HARYANA
Sheikhpur(28),GURGAON,HARYANA
Sonika (20),GURGAON,HARYANA
Thana Alam Alias Masit(60),GURGAON,HARYANA
Dhulawat(81),GURGAON,HARYANA
Kangarka (47),GURGAON,HARYANA
Maindla(82),GURGAON,HARYANA
Nanuka(58),GURGAON,HARYANA
Para(5),GURGAON,HARYANA
Raheri (73),GURGAON,HARYANA
